日期,會員級別,會員積分,款式,評論
2018年02月14日 15:15,b_blue_2,807,颜色分类:白色,很小 很方便 娃儿很喜欢"}],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"吴***l","vipLevel":0,"displayRatePic":"b_red_3.gif","nickUrl":"","anony":false,"rank":57,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmcyPGRevC8yMHlIPFRHPm-IMH*-XmvyPG9Iv8Z-Mmxb&width=40&height=40&type=sns","vip":"","userId":"","rankUrl":""},"append":{"vicious":"","appendId":341071213164,"show":true,"videos":[],"reply":null,"dayAfterConfirm":0,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i2/0/TB2eo9RXzQnBKNjSZSgXXXHGXXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i2/0/TB2eo9RXzQnBKNjSZSgXXXHGXXa_!!0-rate.jpg_400x400.jpg","fileId":1458206199832726516,"receiveId":341071213164,"status":1}],"content":"很小 很方便 娃儿很喜欢"},"status":0},{"date":"2018年02月14日 15:15","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i1/0/TB2tf1oaeOSBuNjy0FdXXbDnVXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i1/0/TB2tf1oaeOSBuNjy0FdXXbDnVXa_!!0-rate.jpg_400x400.jpg","fileId":1934206198684176562,"receiveId":340982463560,"status":1}],"content":"非常喜欢，部门人手一个，棒棒哒?
2018年02月07日 21:07,b_blue_1,293,颜色分类:白色,小孩子们很喜欢玩得很开心，音质很好，功能强大
2018年02月09日 01:42,b_blue_4,2052,颜色分类:白色,终于收到天猫精灵了，连接操作真的是超简单的，直接和天猫精灵对话好有趣，听歌晓天气好方便。
2018年02月11日 16:49,b_blue_2,515,颜色分类:黑色,功能强大，我们一家，只要回家都叫它，准备在买几个送亲戚朋友！
2018年02月09日 16:07,b_red_2,28,颜色分类:黑色,宝贝很棒，基本功能和描述的一样，用起来很顺。
2018年02月09日 16:16,b_red_3,69,颜色分类:白色,非常好，老婆很喜欢，希望后面升级更多的功能！ 内容部分相对于百度的产品要少了类似于百度百科这块。相信阿里的研发团队和阿里生态的资源，天猫精灵会变得越来越智能。 Ai+iot越来越有意思了，未来已来，朋友们也来体验下吧！
2018年02月13日 09:25,b_blue_3,1519,颜色分类:白色,买了好几个用来抽奖 不错
2018年02月12日 17:49,b_red_2,37,颜色分类:白色,有小插曲，但是马上得以解决，值得信赖的卖家。底座加天猫精灵，移动方便，设计感也很好。
2018年02月12日 17:25,b_blue_2,611,颜色分类:黑色,确实不错，很喜欢，还在慢慢学习中。看看是不是真的会自我学习，哈哈。
2018年02月13日 16:27,b_blue_2,975,颜色分类:白色,非常感谢
2018年02月09日 10:57,b_blue_2,529,颜色分类:白色,包装完好无损，非常好的卖家！这次给女儿买的，下次给我自己
2018年02月15日 00:27,","nickUrl":"","anony":false,"rank":3,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmNSOFILXmcyMCRIP0ZhP87HXFkGXm8WvCcSMkPhOmxb&width=40&height=40&type=sns","vip":"b_red_1.gif","userId":"","rankUrl":""},"append":null,"status":0},{"date":"2018年02月16日 19:13","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[],"content":"丰常棒的玩意儿，功能很全。孩子很喜欢，有了它，孩子电视都不看了！","rateId":341101556627,"spuRatting":[],"auction":{"thumbnail":"","link":"//item.taobao.com/item.htm?id=557065873264","auctionPic":"//img.alicdn.com/bao/uploaded/null_40x40.jpg","sku":"颜色分类:黑色","title":"","aucNumId":"557065873264"},"award":"","rate":"1","creditFraudRule":0,"appendCanExplainable":false,"from":"","tag":"","propertiesAvg":"0.0","reply":null,"dayAfterConfirm":0,"lastModifyFrom":0,"bidPriceMoney":{"amount":499,"centFactor":100,"cent":49900,"displayUnit":"元","currency":{"symbol":"￥","displayName":"人民币","currencyCode":"CNY","defaultFractionDigits":2,"numericCode":156},"currencyCode":"CNY"},"noQna":true,"promotionType":"活动促销  ","vicious":"","enableSNS":false,"appendList":[],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"天***云","vipLevel":6,"displayRatePic":"b_blue_4,3,颜色分类:黑色,非常好
2018年02月16日 19:13,b_red_3,2193,颜色分类:黑色,丰常棒的玩意儿，功能很全。孩子很喜欢，有了它，孩子电视都不看了！
2018年02月12日 18:17,b_blue_1,52,颜色分类:白色,第二个天猫精灵，这是替朋友买的。见我用他就让我给他买一个。顺丰发货，很快，年前让他用上了。
2018年02月08日 21:23,b_blue_4,252,颜色分类:黑色,宝贝真的很好！非常的棒！小朋友也非常的喜欢！
2018年02月10日 23:01,b_blue_1,2052,颜色分类:黑色,黑色很有质感，家里多了个会说话的小精灵??♀?
2018年02月07日 18:21,b_red_3,331,颜色分类:黑色,特别适合家里老人，想听老歌直接说，买了2个送人了
2018年02月16日 19:14,b_blue_3,49,颜色分类:白色,买来送给好朋友的，有优惠价格合理，朋友很喜欢，值得购买。
2018年02月07日 12:22,b_blue_2,815,颜色分类:黑色,说好顺丰包邮的给我发了韵达！精灵测试无问题，非常满意！音质和感应效果都很好！
2018年02月09日 22:05,b_red_5,153,颜色分类:黑色,东西收到了，非常不错，物流也及时，东西音质和功能都非常好，服务态度也好，下次还会再来
2018年02月13日 11:57,b_blue_1,487,颜色分类:白色,反应很灵敏，特别好玩。功能特别强大
2018年02月11日 19:30,b_blue_3,1386,颜色分类:白色,全五星，天猫精灵很灵敏，黑豆也很强大，有遥控的家电都能控制，客服可也很好哦。
2018年02月13日 09:18,b_red_4,91,颜色分类:黑色,非常好用，爸妈用家乡话它也能听懂
2018年02月09日 20:01,b_red_4,131,颜色分类:白色,造型好看，很高兴这次购物，不错。
2018年02月10日 12:02,b_red_4,136,颜色分类:白色,东西很棒 物流顺丰服务好 送侄女。特别喜欢
2018年02月18日 11:10,b_blue_1,330,颜色分类:白色,很好耍，就是朋友都只花了99，还有有时候会莫名其妙触发它
2018年02月12日 10:21,b_blue_1,318,颜色分类:白色,不错啊~懒癌晚期值得拥有。
2018年02月10日 19:55,b_red_4,102,颜色分类:黑色,年会奖品，员工收到之后玩了一个晚上，第二天夸了好长时间，智能的对话系统确实好玩。  现在的年小伙子就对这些潮流的电子产品有兴趣，好评。
2018年01月28日 16:08,b_blue_2,726,颜色分类:白色,不得不佩服现在的科技，非常智能，很喜欢，接着又买了一个准备送人用
2018年02月13日 23:36,b_blue_2,516,颜色分类:白色,很好用，第一代智能产品做到这样已经很对得起这个价格了
2018年02月10日 15:11,b_red_3,52,颜色分类:黑色,天猫精灵真心不错音质超级棒
2018年02月10日 18:48,b_red_4,133,颜色分类:黑色,特别好没有版权的就用蓝牙配对 也是可以的 无敌！
2018年02月14日 21:43,b_blue_4,2716,颜色分类:黑色,送人还是不错的选择，前沿产品，小孩的最爱
2018年02月13日 07:52,b_blue_3,1312,颜色分类:白色,收到，还没用，等送朋友时再拆开试用，先给个好评吧，有问题再联系你们，是正品应该没问题
2018年02月07日 20:00,b_blue_3,1124,颜色分类:白色,真好玩。音响音质也特别好。自从回来之后，我玩了整整一个晚上，太好玩啦。客服态度也特别好，物流也特别快。100分哟。哈哈
2018年02月15日 19:48,b_blue_2,845,颜色分类:白色,大年三十收到的礼物，应点也应景，送朋友很喜欢?
2018年02月07日 18:56,b_blue_1,466,颜色分类:白色,功能很强大，比小爱同学多夜灯功能，性价比超高"}],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"贝***3","vipLevel":6,"displayRatePic":"b_blue_2.gif","nickUrl":"","anony":false,"rank":845,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbMGIWMF*eMG9hvGlzvHkWPmRzPFQ0PFPhPF84P8gWMFk4&width=40&height=40&type=sns","vip":"b_red_1.gif","userId":"","rankUrl":""},"append":{"vicious":"","appendId":341076456773,"show":true,"videos":[],"reply":null,"dayAfterConfirm":1,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i2/0/TB2wyzDabGYBuNjy0FoXXciBFXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i2/0/TB2wyzDabGYBuNjy0FoXXciBFXa_!!0-rate.jpg_400x400.jpg","fileId":1932806200193178570,"receiveId":341076456773,"status":1}],"content":"功能很强大，比小爱同学多夜灯功能，性价比超高"},"status":0},{"date":"2018年02月07日 18:56","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[],"content":"运输很快 包装扎实  天猫精灵也很不错 我老妈感觉现在科技太先进了 放音乐特别不错
2018年02月14日 17:04,b_blue_1,267,颜色分类:黑色,买的一黑一白，超级喜欢，我家孩子也很喜欢，每天都是你好天猫，不错，值得购买！
2018年02月09日 18:51,b_red_2,35,颜色分类:黑色,天猫精灵非常不错，很实用，很好玩，很给力的小助手
2018年02月17日 12:42,b_blue_1,434,颜色分类:黑色,给朋友买的，还行，一次性配对成功，能正常使用，就是网速不行反应慢半拍。
2018年02月11日 11:37,b_red_1,5,颜色分类:白色,宝贝很好儿子很喜欢
2018年02月16日 01:59,b_red_5,243,颜色分类:白色,买了让加钱机器用了两天有时候正常聊天机器自己就响起来好几次了
2018年02月08日 15:42,b_blue_3,1286,颜色分类:黑色,宝贝到手很满意，使用起来很方便，家中老人和孩子使用起来上手快，现在已经成了寒假陪伴娃的好帮手，故事说不停。
2018年02月13日 07:26,b_blue_2,648,颜色分类:白色,非常好，孩子特别喜欢，正在学习当中。赞
2018年02月09日 23:15,b_blue_4,2077,颜色分类:白色,功能强大，对得起这个价钱。
2018年02月11日 18:36,b_blue_1,498,颜色分类:白色,非常不错啊，音质好，功能多
2018年02月16日 23:11,b_blue_4,2605,颜色分类:黑色,听朋友说好玩，春节期间自己买一个。2月14日晚下的单，2月16日中午收到。发货快，快递快。真棒?
2018年02月17日 21:26,b_red_5,159,颜色分类:白色,东西不错，?但是不能放歌！还在等待升级好了再反馈客服不错回答很耐心
2018年02月17日 11:22,b_red_4,123,颜色分类:白色,这个非常不错，智能，大部分物品都能连上
2018年02月07日 13:28,b_red_3,76,颜色分类:黑色,此用户没有填写评价。
2018年02月09日 11:41,b_blue_2,837,颜色分类:黑色,非常完美"}],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"t***7","vipLevel":6,"displayRatePic":"b_red_3.gif","nickUrl":"","anony":false,"rank":76,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmRIvCcLvkxLOFI4P0g0XFHbM0ZevCQyMG8YP0QYvGvb&width=40&height=40&type=sns","vip":"b_red_1.gif","userId":"","rankUrl":""},"append":{"vicious":"","appendId":340388187364,"show":true,"videos":[],"reply":null,"dayAfterConfirm":0,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i2/0/TB2JB4EX_tYBeNjy1XdXXXXyVXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i2/0/TB2JB4EX_tYBeNjy1XdXXXXyVXa_!!0-rate.jpg_400x400.jpg","fileId":1961506198172738524,"receiveId":340388187364,"status":1}],"content":"非常完美"},"status":0},{"date":"2018年02月09日 11:41","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[],"content":"天猫精灵其实蛮适合老年人用的，音乐、天气、故事都能hold住！我又买了小米的智能音箱，准备pk一下！再入手几台过年送礼！
2018年02月09日 20:24,b_blue_2,676,颜色分类:白色,给爸妈的，用过在来评论
2018年02月02日 20:19,b_blue_2,518,颜色分类:黑色,包装精美，外观小巧炫酷，内容丰富，基本满足需求，有部分音乐没有，反应还可以！
2018年02月01日 10:59,b_blue_1,380,颜色分类:白色,听同事介绍选择了天猫精灵，入手感觉非常赞，功能及使用效果超出了想象。店家服务也很不错，被本来打算买白色的，后来又换了黑色的，店家很客气就给我换了
2018年02月16日 12:45,b_blue_2,552,颜色分类:黑色,收到了，很喜欢！
2018年02月11日 07:54,b_blue_3,1360,颜色分类:黑色,很方便 音质也很好
2018年02月08日 22:00,b_red_5,167,颜色分类:白色,外观很棒 功能很好 棒棒哒
2018年02月07日 17:39,b_blue_2,726,颜色分类:白色,买的第二个，送朋友的
2018年02月11日 20:41,b_blue_1,299,颜色分类:黑色,宝贝收到了，小巧玲珑，音质挺好的。客服态度也很好
2018年01月26日 12:58,b_blue_2,895,颜色分类:黑色,非常好！已经在他家前后买了四个天猫了，非常喜欢
2018年02月13日 22:48,b_blue_1,411,颜色分类:白色,老妈，小孩都很喜欢这个新奇的玩具
2018年02月13日 14:45,b_blue_3,1643,颜色分类:黑色,朋友推荐音质非常好
2018年02月10日 21:52,b_blue_1,428,颜色分类:白色,一下买了四个，可以虐的小玩具
2018年02月13日 19:09,b_red_2,22,颜色分类:白色,这是第二次购买了，宝贝非常棒，功能强大，送家人的，她的新主人非常满意！
2018年02月09日 10:57,b_blue_2,529,颜色分类:黑色,送朋友的，没有拆封，店家很好，还会光顾的
2018年02月12日 12:19,b_red_4,126,颜色分类:白色,卖家靠谱 年前收到货了 应该是正品 顺丰快递也给力
2018年02月05日 17:22,b_red_3,69,颜色分类:白色,收到了，比想象中的小了一点，但功能实在强大啊，语音也很灵敏，反应很快，小孩子都喜欢的不得了，围着不肯走了，很智能、很强大！先玩了！
2018年02月08日 15:31,b_blue_2,993,颜色分类:白色,公司发礼品的 速度很快 包装很好
2018年02月10日 11:54,b_blue_1,431,颜色分类:白色,我们家小宝宝很喜欢，可以随时听贝瓦儿歌了！玩了一晚上马上就给好朋友又买了一个！
2018年02月10日 09:50,b_blue_4,2097,颜色分类:白色,功能强大，好玩也实用
2018年01月28日 17:08,b_blue_2,542,颜色分类:白色,因为不懂,问了客服很多问题啊，客服很耐心的回答了我，谢谢。这款产品确实很高端很智能，但是还有不足的方面，希望今后改进。另外，天猫和黑豆如果想控制电视调频道的话，必须得电视的厂商和天猫的有一个协议，才能实现语音控制。这方面真的很鸡肋&hellip;&hellip;希望，博联以后能更新软件和一些没有建议协议的厂商能共同的完成语音控制
2018年02月14日 08:48,b_blue_3,1565,颜色分类:黑色,特别好用 孩子老人都喜欢
2018年02月08日 17:26,b_red_5,235,颜色分类:白色,不错的，希望库越来越强大
2018年02月16日 11:36,b_blue_3,1414,颜色分类:黑色,小朋友很开心，没想到大年初一还送货
2018年02月01日 18:52,b_blue_1,299,颜色分类:黑色,宝贝很好！做工考究，细节处理到位！送给老人家十分满意，爱不释手！推荐购买！！
2018年02月13日 20:24,b_blue_1,298,颜色分类:白色,整体来说还是不错的
2018年02月14日 18:57,b_blue_3,1362,颜色分类:白色,此用户没有填写评价。
2018年02月18日 11:49,b_blue_1,327,颜色分类:黑色,不错的好东东，孩子超喜欢！"}],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"g***8","vipLevel":0,"displayRatePic":"b_blue_3.gif","nickUrl":"","anony":false,"rank":1362,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmRIvCcLvkxLOFI4P0g0XFH0OmI4v0kLMmZ-O8kLOF*I&width=40&height=40&type=sns","vip":"","userId":"","rankUrl":""},"append":{"vicious":"","appendId":340990317171,"show":true,"videos":[],"reply":null,"dayAfterConfirm":0,"photos":[],"content":"不错的好东东，孩子超喜欢！"},"status":0},{"date":"2018年02月18日 11:49","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[],"content":"科技含量高，做工精美！
2018年02月17日 03:42,b_red_3,73,颜色分类:白色,很好，孩子们很喜欢，评价晚了，不好意思
2018年02月15日 11:45,b_blue_1,405,颜色分类:黑色,非常好的宝贝，以后继续光顾。
2018年02月05日 13:55,b_red_3,71,颜色分类:白色,小巧精致，非常漂亮，音质不错，搜索资源丰富，语音识别度高，功能齐全，下次还会再购买。
2018年02月07日 12:01,b_blue_2,722,颜色分类:黑色,孩子很喜欢，睡前让天猫精灵讲故事，还能做数学题、英语翻译等等，棒棒地
2018年02月13日 10:08,b_blue_1,395,颜色分类:黑色,刚开始不会联网，后来客服耐心指导终于弄好了，对客服态度给个赞，天猫精灵很可爱，很强大，已经买了两个
2018年02月16日 12:25,b_blue_1,261,颜色分类:黑色,非常好，孩子很喜欢
2018年02月11日 11:12,b_red_2,14,颜色分类:黑色,如果能改名字就更完美了！
2018年02月08日 00:25,b_blue_1,311,颜色分类:黑色,物美价廉，性价比高，小巧精致，美观实用，宝宝很喜欢，研究使用中，店家发货迅速，描述真实，服务热情，快递也不错，很满意的一次购物。
2018年02月02日 12:31,b_red_2,32,颜色分类:黑色,宝贝很好用，反应很快，很灵敏，音效也是不错的，力荐力荐^_^^_^^_^^_^^_^^_^^_^^_^
2018年02月15日 14:23,b_red_5,184,颜色分类:白色,不错。店家发货速度很快。。头天下单第二天就收到了。。。功能好用。。天猫精灵不错的选择。喜欢。满五分好评。
2018年02月12日 19:39,b_blue_2,805,颜色分类:黑色,发货很快，快过年了还能准时收到，机器反应还不错，小孩很喜欢，一个大玩具
2018年02月17日 23:10,b_blue_1,374,颜色分类:黑色,音质不错，过年有它很热闹
2018年02月09日 12:04,b_red_5,218,颜色分类:白色,非常好玩
2018年02月01日 10:33,b_blue_1,498,颜色分类:黑色,一开始因为网络问题没能连上精灵很是郁闷，后来请教了客户，给了非常多的帮助，现在WIFI终于能正常连接了！谢谢！天猫精灵真的是个精灵，一应俱全，孩子非常开心！好似多了个伙伴！质量也没得说！快递也非常给力！大雪天也送货很及时！总之这次购物非常满意！??卖家生意兴隆！
2018年02月05日 11:20,b_blue_3,1271,颜色分类:黑色,买来送人，小朋友很喜欢，很强大的一款小机器人，音响效果也很不错，卖家发货快，很好！
2018年02月01日 12:50,b_red_5,250,颜色分类:黑色,朋友推荐的，下单了就好期待，非常精致的音响，还没试用，相信天猫的品质，果断好评！
2018年02月05日 00:19,b_blue_2,524,颜色分类:白色,是正品，真的太棒了！随叫随到的小管家，试用了快一周了，语音识别挺灵敏的，大冬天的早上真的靠它的劲爆音乐把我从被窝里拖出来了，推荐入手哈哈
2018年02月16日 20:17,b_red_3,70,颜色分类:黑色,宝贝很不错，很好玩
2018年02月03日 09:00,b_blue_2,588,颜色分类:黑色,宝贝很不错，绝对正品的天猫精灵，领导也很满意，特别感谢卖家送的热水袋，水果造型敲可爱，办公室的姐妹都很喜欢
2018年02月07日 22:02,b_blue_2,826,颜色分类:黑色,天猫精灵很好用，想听的基本都可以给你找出来，只是有些问题还有待开发，总之就目前的智能水平还是满意的。
2018年02月14日 11:25,b_blue_3,1831,颜色分类:黑色,便宜又好用的宝贝
2018年02月13日 12:12,b_blue_2,584,颜色分类:白色,精灵太强大了，孩子叫的不亦乐乎。配上魔盒，连遥控器都省了。唯一的缺点就是，孩子说句话就把我的台给换了，以后家里一台电视是不够了
2018年02月14日 19:25,b_red_5,210,颜色分类:白色,天猫精灵很好用，很灵敏，也很聪明。
2018年02月15日 23:11,b_red_5,202,颜色分类:白色,用来给宝宝防音乐玩的，声音还不错吧，只是不知道黑豆怎么用
2018年02月15日 19:49,b_red_3,53,颜色分类:白色,非常满意一次购物。
2018年02月13日 16:21,b_red_5,222,颜色分类:黑色,东西不错
2018年02月13日 18:14,b_blue_4,2402,颜色分类:白色,很好，很惊喜，儿子喜欢得很。
2018年02月17日 12:06,b_red_1,9,颜色分类:黑色,宝贝很好！不错的下次我还来，
2018年02月04日 16:57,b_red_5,179,颜色分类:黑色,期待了两天，终于到了。很完美的东西，反应也很快。值得入手。
2018年02月14日 09:40,b_blue_3,1110,颜色分类:白色,非常好的宝贝
2018年02月15日 13:33,b_red_5,203,颜色分类:白色,又买了两个送人，春运前的物流也挺给力。
2018年02月18日 07:39,b_blue_4,2762,颜色分类:白色,太棒了，功能强大，便用方便。
2018年02月11日 19:17,b_red_5,153,颜色分类:黑色,好
2018年02月09日 21:54,b_blue_4,2122,颜色分类:黑色,特别有意思，功能强大，反应灵敏！！！
2018年02月08日 00:22,b_blue_2,517,颜色分类:黑色,还不错，买给父母玩的，很简单就能学会哈哈，就是比siri差点，挺智能的了
2018年02月14日 07:07,b_blue_1,426,颜色分类:白色,宝贝很好，天天加班，忘了评价
2018年02月01日 17:36,b_blue_4,2691,颜色分类:白色,这是买的第二个，官方太贵了，来这里买又便宜又好，还是现货不用等，买来送朋友孩子，简直太好了，推荐大家买，大人孩子都能玩
2018年02月12日 18:19,b_blue_2,794,颜色分类:白色,功能很强大，估计软件后期升级能提供更多服务。白色显得亮些，和家具好搭配。
2018年02月17日 18:31,b_blue_1,415,颜色分类:黑色,精灵不错，比想象的好
2018年02月12日 21:08,b_blue_2,697,颜色分类:黑色,很好用 适合家里有小孩的家庭，送礼超有新意
2018年02月02日 19:23,b_red_5,203,颜色分类:白色,很好用，儿子可以每天听故事，学唱歌了，不用天天打游戏了，超赞。
2018年02月10日 16:39,b_blue_1,372,颜色分类:黑色,很好，爸妈很喜欢
